Designator,Mid X,Mid Y,Rotation,Layer
D1,48.8,-32.55,180.0,top
D10,120.65,-49.55,180.0,top
D11,48.8,-66.55,180.0,top
D12,66.8,-66.55,180.0,top
D13,84.8,-66.55,180.0,top
D14,102.8,-66.55,180.0,top
D15,120.8,-66.55,180.0,top
D16,102.8,-83.55,180.0,top
D17,120.8,-83.55,180.0,top
D18,138.8,-83.55,180.0,top
D2,66.8,-32.55,180.0,top
D3,84.8,-32.55,180.0,top
D4,102.8,-32.55,180.0,top
D5,120.8,-32.55,180.0,top
D6,48.8,-49.55,180.0,top
D7,66.8,-49.55,180.0,top
D8,84.8,-49.55,180.0,top
D9,102.8,-49.55,180.0,top
